dProduct_ProductID,dProduct_ProductName,dProduct_Category,dProduct_Segment,dProduct_Manufacturer,dProduct_Product_Name_Rev,dProduct_ProductName_for_Sentiment,dProduct_Manufacturer_for_Sentiment
46,RP-01,Rural,Productivity,Abbas,RP-01,,
47,RP-02,Rural,Productivity,Abbas,RP-02,,
48,RP-03,Rural,Productivity,Abbas,RP-03,,
49,RP-04,Rural,Productivity,Abbas,RP-04,,
50,RP-05,Rural,Productivity,Abbas,RP-05,,
51,RP-06,Rural,Productivity,Abbas,RP-06,,
52,RP-07,Rural,Productivity,Abbas,RP-07,,
53,RP-08,Rural,Productivity,Abbas,RP-08,,
54,RP-09,Rural,Productivity,Abbas,RP-09,,
55,RP-10,Rural,Productivity,Abbas,RP-10,,
56,RP-11,Rural,Productivity,Abbas,RP-11,,
57,RP-12,Rural,Productivity,Abbas,RP-12,,
58,RP-13,Rural,Productivity,Abbas,RP-13,,
59,RP-14,Rural,Productivity,Abbas,RP-14,,
60,RP-15,Rural,Productivity,Abbas,RP-15,,
61,RP-16,Rural,Productivity,Abbas,RP-16,,
62,RP-17,Rural,Productivity,Abbas,RP-17,,
63,RP-18,Rural,Productivity,Abbas,RP-18,,
64,RP-19,Rural,Productivity,Abbas,RP-19,,
65,RP-20,Rural,Productivity,Abbas,RP-20,,
66,RP-21,Rural,Productivity,Abbas,RP-21,,
67,RP-22,Rural,Productivity,Abbas,RP-22,,
68,RS-01,Rural,Select,Abbas,RS-01,,
69,RS-02,Rural,Select,Abbas,RS-02,,
70,RS-03,Rural,Select,Abbas,RS-03,,
71,RS-04,Rural,Select,Abbas,RS-04,,
72,RS-05,Rural,Select,Abbas,RS-05,,
73,RS-06,Rural,Select,Abbas,RS-06,,
74,UM-01,Urban,Moderation,Abbas,UM-01,,
75,UM-02,Urban,Moderation,Abbas,UM-02,,
76,UM-03,Urban,Moderation,Abbas,UM-03,,
77,UM-04,Urban,Moderation,Abbas,UM-04,,
78,UM-05,Urban,Moderation,Abbas,UM-05,,
79,UM-06,Urban,Moderation,Abbas,UM-06,,
80,UM-07,Urban,Moderation,Abbas,UM-07,,
81,UM-08,Urban,Moderation,Abbas,UM-08,,
82,UM-09,Urban,Moderation,Abbas,UM-09,,
83,UM-10,Urban,Moderation,Abbas,UM-10,,
84,UM-11,Urban,Moderation,Abbas,UM-11,,
85,UM-12,Urban,Moderation,Abbas,UM-12,,
86,UM-13,Urban,Moderation,Abbas,UM-13,,
87,UM-14,Urban,Moderation,Abbas,UM-14,,
88,UM-15,Urban,Moderation,Abbas,UM-15,,
89,UM-16,Urban,Moderation,Abbas,UM-16,,
90,UM-17,Urban,Moderation,Abbas,UM-17,,
91,UM-18,Urban,Moderation,Abbas,UM-18,,
92,UM-19,Urban,Moderation,Abbas,UM-19,,
93,UM-20,Urban,Moderation,Abbas,UM-20,,
94,UM-21,Urban,Moderation,Abbas,UM-21,,
95,UM-22,Urban,Moderation,Abbas,UM-22,,
96,UM-23,Urban,Moderation,Abbas,UM-23,,
97,UM-24,Urban,Moderation,Abbas,UM-24,,
98,UM-25,Urban,Moderation,Abbas,UM-25,,
99,UM-26,Urban,Moderation,Abbas,UM-26,,
100,UM-27,Urban,Moderation,Abbas,UM-27,,
101,UM-28,Urban,Moderation,Abbas,UM-28,,
102,UM-29,Urban,Moderation,Abbas,UM-29,,
103,UM-30,Urban,Moderation,Abbas,UM-30,,
104,UM-31,Urban,Moderation,Abbas,UM-31,,
105,UM-32,Urban,Moderation,Abbas,UM-32,,
106,UM-33,Urban,Moderation,Abbas,UM-33,,
107,UM-34,Urban,Moderation,Abbas,UM-34,,
108,UM-35,Urban,Moderation,Abbas,UM-35,,
109,UM-36,Urban,Moderation,Abbas,UM-36,,
110,UM-37,Urban,Moderation,Abbas,UM-37 (No Revenue),,
111,UM-38,Urban,Moderation,Abbas,UM-38,,
112,UM-39,Urban,Moderation,Abbas,UM-39 (No Revenue),,
113,UM-40,Urban,Moderation,Abbas,UM-40,,
114,UM-41,Urban,Moderation,Abbas,UM-41,,
115,UM-42,Urban,Moderation,Abbas,UM-42,,
116,UM-43,Urban,Moderation,Abbas,UM-43,,
117,UM-44,Urban,Moderation,Abbas,UM-44,,
118,UM-45,Urban,Moderation,Abbas,UM-45,,
119,UM-46,Urban,Moderation,Abbas,UM-46 (No Revenue),,
120,UM-47,Urban,Moderation,Abbas,UM-47 (No Revenue),,
121,UM-48,Urban,Moderation,Abbas,UM-48,,
122,UM-49,Urban,Moderation,Abbas,UM-49,,
123,UM-50,Urban,Moderation,Abbas,UM-50,,
124,UM-51,Urban,Moderation,Abbas,UM-51 (No Revenue),,
125,UM-52,Urban,Moderation,Abbas,UM-52,,
126,UM-53,Urban,Moderation,Abbas,UM-53 (No Revenue),,
127,UM-54,Urban,Moderation,Abbas,UM-54,,
128,UM-55,Urban,Moderation,Abbas,UM-55,,
129,UM-56,Urban,Moderation,Abbas,UM-56,,
130,UR-01,Urban,Regular,Abbas,UR-01,,
131,UR-02,Urban,Regular,Abbas,UR-02,,
132,UR-03,Urban,Regular,Abbas,UR-03,,
133,UR-04,Urban,Regular,Abbas,UR-04,,
134,UR-05,Urban,Regular,Abbas,UR-05,,
135,UR-06,Urban,Regular,Abbas,UR-06,,
136,UR-07,Urban,Regular,Abbas,UR-07,,
137,UR-08,Urban,Regular,Abbas,UR-08,,
138,UR-09,Urban,Regular,Abbas,UR-09,,
139,UR-10,Urban,Regular,Abbas,UR-10,,
140,UR-11,Urban,Regular,Abbas,UR-11,,
141,UR-12,Urban,Regular,Abbas,UR-12,,
142,UR-13,Urban,Regular,Abbas,UR-13,,
143,UR-14,Urban,Regular,Abbas,UR-14,,
144,UR-15,Urban,Regular,Abbas,UR-15,,
145,UR-16,Urban,Regular,Abbas,UR-16,,
146,UR-17,Urban,Regular,Abbas,UR-17,,
147,UR-18,Urban,Regular,Abbas,UR-18,,
148,UR-19,Urban,Regular,Abbas,UR-19,,
149,UR-20,Urban,Regular,Abbas,UR-20,,
150,UR-21,Urban,Regular,Abbas,UR-21,,
151,UR-22,Urban,Regular,Abbas,UR-22,,
152,UR-23,Urban,Regular,Abbas,UR-23,,
153,UR-24,Urban,Regular,Abbas,UR-24,,
154,UR-25,Urban,Regular,Abbas,UR-25,,
155,UR-26,Urban,Regular,Abbas,UR-26,,
156,UR-27,Urban,Regular,Abbas,UR-27,,
157,UR-28,Urban,Regular,Abbas,UR-28,,
158,UR-29,Urban,Regular,Abbas,UR-29 (No Revenue),,
159,UR-30,Urban,Regular,Abbas,UR-30 (No Revenue),,
160,UR-31,Urban,Regular,Abbas,UR-31,,
161,UR-32,Urban,Regular,Abbas,UR-32,,
162,UR-33,Urban,Regular,Abbas,UR-33,,
163,UR-34,Urban,Regular,Abbas,UR-34 (No Revenue),,
164,UR-35,Urban,Regular,Abbas,UR-35,,
165,UR-36,Urban,Regular,Abbas,UR-36,,
166,UR-37,Urban,Regular,Abbas,UR-37,,
167,UR-38,Urban,Regular,Abbas,UR-38,,
168,UR-39,Urban,Regular,Abbas,UR-39,,
169,UR-40,Urban,Regular,Abbas,UR-40,,
170,UR-41,Urban,Regular,Abbas,UR-41,,
171,UR-42,Urban,Regular,Abbas,UR-42 (No Revenue),,
172,UR-43,Urban,Regular,Abbas,UR-43 (No Revenue),,
173,UE-01,Urban,Extreme,Abbas,UE-01,,
174,UE-02,Urban,Extreme,Abbas,UE-02,,
175,UE-03,Urban,Extreme,Abbas,UE-03,,
176,UE-04,Urban,Extreme,Abbas,UE-04,,
177,UE-05,Urban,Extreme,Abbas,UE-05,,
178,UE-06,Urban,Extreme,Abbas,UE-06,,
179,UE-07,Urban,Extreme,Abbas,UE-07,,
180,UE-08,Urban,Extreme,Abbas,UE-08,,
181,UE-09,Urban,Extreme,Abbas,UE-09,,
182,UE-10,Urban,Extreme,Abbas,UE-10,,
183,UE-11,Urban,Extreme,Abbas,UE-11,,
184,UE-12,Urban,Extreme,Abbas,UE-12,,
185,UE-13,Urban,Extreme,Abbas,UE-13,,
186,UE-14,Urban,Extreme,Abbas,UE-14,,
187,UE-15,Urban,Extreme,Abbas,UE-15,,
188,UE-16,Urban,Extreme,Abbas,UE-16,,
189,UC-01,Urban,Convenience,Abbas,UC-01,,
190,UC-02,Urban,Convenience,Abbas,UC-02,,
191,UC-03,Urban,Convenience,Abbas,UC-03,,
192,UC-04,Urban,Convenience,Abbas,UC-04,,
193,UC-05,Urban,Convenience,Abbas,UC-05,,
194,UC-06,Urban,Convenience,Abbas,UC-06,,
195,UC-07,Urban,Convenience,Abbas,UC-07,,
196,UC-08,Urban,Convenience,Abbas,UC-08,,
197,YY-01,Youth,Youth,Abbas,YY-01,,
198,YY-02,Youth,Youth,Abbas,YY-02,,
199,UM-01,Urban,Moderation,Barba,UM-01,UM-01,Barba
200,UM-02,Urban,Moderation,Barba,UM-02,,
201,UM-03,Urban,Moderation,Barba,UM-03,,
202,UM-04,Urban,Moderation,Barba,UM-04,,
203,UM-05,Urban,Moderation,Barba,UM-05,,
204,UM-06,Urban,Moderation,Barba,UM-06,,
205,UM-07,Urban,Moderation,Barba,UM-07,,
206,UM-08,Urban,Moderation,Barba,UM-08,,
207,UM-09,Urban,Moderation,Barba,UM-09,,
208,UM-10,Urban,Moderation,Barba,UM-10,,
209,UM-11,Urban,Moderation,Barba,UM-11,,
210,UM-12,Urban,Moderation,Barba,UM-12,,
211,MA-01,Mix,All Season,Fama,MA-01,MA-01,Fama
212,MA-02,Mix,All Season,Fama,MA-02,,
213,RP-01,Rural,Productivity,Fama,RP-01,,
214,RP-02,Rural,Productivity,Fama,RP-02,,
215,RP-03,Rural,Productivity,Fama,RP-03,,
216,RP-04,Rural,Productivity,Fama,RP-04,,
217,RP-05,Rural,Productivity,Fama,RP-05,,
218,RP-06,Rural,Productivity,Fama,RP-06,,
219,RP-07,Rural,Productivity,Fama,RP-07,,
220,RP-08,Rural,Productivity,Fama,RP-08,,
221,RP-09,Rural,Productivity,Fama,RP-09,,
222,RP-10,Rural,Productivity,Fama,RP-10,,
223,UM-01,Urban,Moderation,Fama,UM-01,,
224,UM-02,Urban,Moderation,Fama,UM-02,,
225,UM-03,Urban,Moderation,Fama,UM-03,,
226,UM-04,Urban,Moderation,Fama,UM-04,,
227,UM-05,Urban,Moderation,Fama,UM-05,,
228,UM-06,Urban,Moderation,Fama,UM-06,,
229,UR-01,Urban,Regular,Fama,UR-01,,
230,UR-02,Urban,Regular,Fama,UR-02,,
231,UR-03,Urban,Regular,Fama,UR-03,,
232,UR-04,Urban,Regular,Fama,UR-04,,
233,UR-05,Urban,Regular,Fama,UR-05,,
234,UR-06,Urban,Regular,Fama,UR-06,,
235,UR-07,Urban,Regular,Fama,UR-07,,
236,UR-08,Urban,Regular,Fama,UR-08,,
237,UR-09,Urban,Regular,Fama,UR-09,,
238,UR-10,Urban,Regular,Fama,UR-10,,
239,UR-11,Urban,Regular,Fama,UR-11,,
240,UR-12,Urban,Regular,Fama,UR-12,,
241,UR-13,Urban,Regular,Fama,UR-13,,
242,UR-14,Urban,Regular,Fama,UR-14,,
243,UR-15,Urban,Regular,Fama,UR-15,,
244,UR-16,Urban,Regular,Fama,UR-16,,
245,UR-17,Urban,Regular,Fama,UR-17,,
246,UR-18,Urban,Regular,Fama,UR-18,,
247,UR-19,Urban,Regular,Fama,UR-19,,
248,UR-20,Urban,Regular,Fama,UR-20,,
249,UR-21,Urban,Regular,Fama,UR-21,,
250,UR-22,Urban,Regular,Fama,UR-22,,
251,UR-23,Urban,Regular,Fama,UR-23,,
252,UR-24,Urban,Regular,Fama,UR-24,,
253,UR-25,Urban,Regular,Fama,UR-25,,
254,UR-26,Urban,Regular,Fama,UR-26,,
255,UR-27,Urban,Regular,Fama,UR-27,,
256,UR-28,Urban,Regular,Fama,UR-28,,
257,UR-29,Urban,Regular,Fama,UR-29 (No Revenue),,
258,UR-30,Urban,Regular,Fama,UR-30 (No Revenue),,
259,UR-31,Urban,Regular,Fama,UR-31,,
260,UR-32,Urban,Regular,Fama,UR-32,,
261,UR-33,Urban,Regular,Fama,UR-33,,
262,UR-34,Urban,Regular,Fama,UR-34 (No Revenue),,
263,UR-35,Urban,Regular,Fama,UR-35,,
264,UR-36,Urban,Regular,Fama,UR-36,,
265,UR-37,Urban,Regular,Fama,UR-37,,
266,UR-38,Urban,Regular,Fama,UR-38,,
267,UR-39,Urban,Regular,Fama,UR-39,,
268,UR-40,Urban,Regular,Fama,UR-40,,
269,UR-41,Urban,Regular,Fama,UR-41,,
270,UR-42,Urban,Regular,Fama,UR-42 (No Revenue),,
271,UR-43,Urban,Regular,Fama,UR-43 (No Revenue),,
272,UR-44,Urban,Regular,Fama,UR-44,,
273,UR-45,Urban,Regular,Fama,UR-45 (No Revenue),,
274,UR-46,Urban,Regular,Fama,UR-46,,
275,UR-47,Urban,Regular,Fama,UR-47,,
276,UR-48,Urban,Regular,Fama,UR-48,,
277,UR-49,Urban,Regular,Fama,UR-49,,
278,UR-50,Urban,Regular,Fama,UR-50 (No Revenue),,
279,UR-51,Urban,Regular,Fama,UR-51,,
280,UE-01,Urban,Extreme,Fama,UE-01,,
281,UE-02,Urban,Extreme,Fama,UE-02,,
282,UE-03,Urban,Extreme,Fama,UE-03,,
283,UE-04,Urban,Extreme,Fama,UE-04,,
284,UE-05,Urban,Extreme,Fama,UE-05,,
285,UE-06,Urban,Extreme,Fama,UE-06,,
286,UE-07,Urban,Extreme,Fama,UE-07,,
287,UE-08,Urban,Extreme,Fama,UE-08,,
288,UE-09,Urban,Extreme,Fama,UE-09,,
289,UE-10,Urban,Extreme,Fama,UE-10,,
290,UE-11,Urban,Extreme,Fama,UE-11,,
291,UE-12,Urban,Extreme,Fama,UE-12,,
292,UE-13,Urban,Extreme,Fama,UE-13,,
293,UE-14,Urban,Extreme,Fama,UE-14,,
294,UE-15,Urban,Extreme,Fama,UE-15,,
295,UE-16,Urban,Extreme,Fama,UE-16,,
296,UE-17,Urban,Extreme,Fama,UE-17,,
297,UE-18,Urban,Extreme,Fama,UE-18,,
298,UE-19,Urban,Extreme,Fama,UE-19,,
299,UE-20,Urban,Extreme,Fama,UE-20,,
300,UE-21,Urban,Extreme,Fama,UE-21,,
301,UE-22,Urban,Extreme,Fama,UE-22,,
302,UE-23,Urban,Extreme,Fama,UE-23,,
303,UE-24,Urban,Extreme,Fama,UE-24,,
304,UE-25,Urban,Extreme,Fama,UE-25,,
305,UE-26,Urban,Extreme,Fama,UE-26,,
306,UE-27,Urban,Extreme,Fama,UE-27,,
307,UE-28,Urban,Extreme,Fama,UE-28,,
308,UE-29,Urban,Extreme,Fama,UE-29,,
309,UE-30,Urban,Extreme,Fama,UE-30,,
310,UE-31,Urban,Extreme,Fama,UE-31,,
311,UE-32,Urban,Extreme,Fama,UE-32,,
312,UE-33,Urban,Extreme,Fama,UE-33,,
313,UE-34,Urban,Extreme,Fama,UE-34,,
314,UE-35,Urban,Extreme,Fama,UE-35,,
315,UE-36,Urban,Extreme,Fama,UE-36,,
316,UE-37,Urban,Extreme,Fama,UE-37 (No Revenue),,
317,UE-38,Urban,Extreme,Fama,UE-38 (No Revenue),,
318,UE-39,Urban,Extreme,Fama,UE-39,,
319,UE-40,Urban,Extreme,Fama,UE-40,,
320,UE-41,Urban,Extreme,Fama,UE-41 (No Revenue),,
321,UE-42,Urban,Extreme,Fama,UE-42,,
322,UE-43,Urban,Extreme,Fama,UE-43,,
323,UE-44,Urban,Extreme,Fama,UE-44,,
324,UE-45,Urban,Extreme,Fama,UE-45,,
325,UE-46,Urban,Extreme,Fama,UE-46 (No Revenue),,
326,UE-47,Urban,Extreme,Fama,UE-47 (No Revenue),,
327,UE-48,Urban,Extreme,Fama,UE-48 (No Revenue),,
328,UE-49,Urban,Extreme,Fama,UE-49 (No Revenue),,
329,UE-50,Urban,Extreme,Fama,UE-50 (No Revenue),,
330,UE-51,Urban,Extreme,Fama,UE-51 (No Revenue),,
331,UE-52,Urban,Extreme,Fama,UE-52 (No Revenue),,
332,UE-53,Urban,Extreme,Fama,UE-53,,
333,UE-54,Urban,Extreme,Fama,UE-54,,
334,UE-55,Urban,Extreme,Fama,UE-55,,
335,UE-56,Urban,Extreme,Fama,UE-56,,
336,UE-57,Urban,Extreme,Fama,UE-57,,
337,UE-58,Urban,Extreme,Fama,UE-58,,
338,UE-59,Urban,Extreme,Fama,UE-59,,
339,UE-60,Urban,Extreme,Fama,UE-60 (No Revenue),,
340,UE-61,Urban,Extreme,Fama,UE-61 (No Revenue),,
341,UE-62,Urban,Extreme,Fama,UE-62 (No Revenue),,
342,UE-63,Urban,Extreme,Fama,UE-63,,
343,UE-64,Urban,Extreme,Fama,UE-64 (No Revenue),,
344,UE-65,Urban,Extreme,Fama,UE-65 (No Revenue),,
345,UE-66,Urban,Extreme,Fama,UE-66 (No Revenue),,
346,UE-67,Urban,Extreme,Fama,UE-67,,
347,UE-68,Urban,Extreme,Fama,UE-68,,
348,UE-69,Urban,Extreme,Fama,UE-69,,
349,UE-70,Urban,Extreme,Fama,UE-70,,
350,UE-71,Urban,Extreme,Fama,UE-71 (No Revenue),,
351,UE-72,Urban,Extreme,Fama,UE-72 (No Revenue),,
352,UE-73,Urban,Extreme,Fama,UE-73 (No Revenue),,
353,UE-74,Urban,Extreme,Fama,UE-74 (No Revenue),,
354,UE-75,Urban,Extreme,Fama,UE-75,,
355,UE-76,Urban,Extreme,Fama,UE-76 (No Revenue),,
356,UE-77,Urban,Extreme,Fama,UE-77,,
357,UE-78,Urban,Extreme,Fama,UE-78 (No Revenue),,
358,UE-79,Urban,Extreme,Fama,UE-79,,
359,UE-80,Urban,Extreme,Fama,UE-80,,
360,UE-81,Urban,Extreme,Fama,UE-81 (No Revenue),,
361,UE-82,Urban,Extreme,Fama,UE-82 (No Revenue),,
362,UE-83,Urban,Extreme,Fama,UE-83,,
363,UE-84,Urban,Extreme,Fama,UE-84 (No Revenue),,
364,UE-85,Urban,Extreme,Fama,UE-85,,
365,UE-86,Urban,Extreme,Fama,UE-86,,
366,UE-87,Urban,Extreme,Fama,UE-87,,
367,UE-88,Urban,Extreme,Fama,UE-88,,
368,UE-89,Urban,Extreme,Fama,UE-89,,
369,UE-90,Urban,Extreme,Fama,UE-90,,
370,UE-91,Urban,Extreme,Fama,UE-91 (No Revenue),,
371,UE-92,Urban,Extreme,Fama,UE-92,,
372,UE-93,Urban,Extreme,Fama,UE-93,,
373,UE-94,Urban,Extreme,Fama,UE-94 (No Revenue),,
374,UE-95,Urban,Extreme,Fama,UE-95 (No Revenue),,
375,UE-96,Urban,Extreme,Fama,UE-96 (No Revenue),,
376,UE-97,Urban,Extreme,Fama,UE-97 (No Revenue),,
377,UE-98,Urban,Extreme,Fama,UE-98 (No Revenue),,
378,UE-99,Urban,Extreme,Fama,UE-99,,
379,UE-00,Urban,Extreme,Fama,UE-00 (No Revenue),,
380,UE-01,Urban,Extreme,Fama,UE-01,,
381,UE-02,Urban,Extreme,Fama,UE-02,,
382,UE-03,Urban,Extreme,Fama,UE-03,,
383,UE-04,Urban,Extreme,Fama,UE-04,,
384,UE-05,Urban,Extreme,Fama,UE-05,,
385,UE-06,Urban,Extreme,Fama,UE-06,,
386,UE-07,Urban,Extreme,Fama,UE-07,,
387,UC-01,Urban,Convenience,Fama,UC-01,,
388,UC-02,Urban,Convenience,Fama,UC-02,,
389,UC-03,Urban,Convenience,Fama,UC-03,,
390,UC-04,Urban,Convenience,Fama,UC-04,,
391,UC-05,Urban,Convenience,Fama,UC-05,,
392,RP-01,Rural,Productivity,VanArsdel,RP-01,RP-01,VanArsdel
393,RP-02,Rural,Productivity,VanArsdel,RP-02,,
394,RS-01,Rural,Select,VanArsdel,RS-01,,
395,RS-02,Rural,Select,VanArsdel,RS-02,,
396,UM-01,Urban,Moderation,VanArsdel,UM-01,,
397,UM-02,Urban,Moderation,VanArsdel,UM-02,,
398,UM-03,Urban,Moderation,VanArsdel,UM-03,,
399,UM-04,Urban,Moderation,VanArsdel,UM-04,,
400,UM-05,Urban,Moderation,VanArsdel,UM-05,,
401,UM-06,Urban,Moderation,VanArsdel,UM-06,,
402,UM-07,Urban,Moderation,VanArsdel,UM-07,,
403,UM-08,Urban,Moderation,VanArsdel,UM-08,,
404,UM-09,Urban,Moderation,VanArsdel,UM-09,,
405,UM-10,Urban,Moderation,VanArsdel,UM-10,,
406,UM-11,Urban,Moderation,VanArsdel,UM-11,,
407,UM-12,Urban,Moderation,VanArsdel,UM-12,,
408,UM-13,Urban,Moderation,VanArsdel,UM-13,,
409,UM-14,Urban,Moderation,VanArsdel,UM-14,,
410,UM-15,Urban,Moderation,VanArsdel,UM-15,,
411,UM-16,Urban,Moderation,VanArsdel,UM-16,,
412,UM-17,Urban,Moderation,VanArsdel,UM-17,,
413,UM-18,Urban,Moderation,VanArsdel,UM-18,,
414,UM-19,Urban,Moderation,VanArsdel,UM-19,,
415,UM-20,Urban,Moderation,VanArsdel,UM-20,,
416,UM-21,Urban,Moderation,VanArsdel,UM-21,,
417,UM-22,Urban,Moderation,VanArsdel,UM-22,,
418,UM-23,Urban,Moderation,VanArsdel,UM-23,,
419,UM-24,Urban,Moderation,VanArsdel,UM-24,,
420,UM-25,Urban,Moderation,VanArsdel,UM-25,,
421,UM-26,Urban,Moderation,VanArsdel,UM-26,,
422,UM-27,Urban,Moderation,VanArsdel,UM-27,,
423,UM-28,Urban,Moderation,VanArsdel,UM-28,,
424,UM-29,Urban,Moderation,VanArsdel,UM-29,,
425,UM-30,Urban,Moderation,VanArsdel,UM-30,,
426,UM-31,Urban,Moderation,VanArsdel,UM-31,,
427,UM-32,Urban,Moderation,VanArsdel,UM-32,,
428,UM-33,Urban,Moderation,VanArsdel,UM-33,,
429,UM-34,Urban,Moderation,VanArsdel,UM-34,,
430,UM-35,Urban,Moderation,VanArsdel,UM-35,,
431,UM-36,Urban,Moderation,VanArsdel,UM-36,,
432,UM-37,Urban,Moderation,VanArsdel,UM-37 (No Revenue),,
433,UM-38,Urban,Moderation,VanArsdel,UM-38,,
434,UM-39,Urban,Moderation,VanArsdel,UM-39 (No Revenue),,
435,UM-40,Urban,Moderation,VanArsdel,UM-40,,
436,UM-41,Urban,Moderation,VanArsdel,UM-41,,
437,UM-42,Urban,Moderation,VanArsdel,UM-42,,
438,UM-43,Urban,Moderation,VanArsdel,UM-43,,
439,UM-44,Urban,Moderation,VanArsdel,UM-44,,
440,UM-45,Urban,Moderation,VanArsdel,UM-45,,
441,UM-46,Urban,Moderation,VanArsdel,UM-46 (No Revenue),,
442,UM-47,Urban,Moderation,VanArsdel,UM-47 (No Revenue),,
443,UM-48,Urban,Moderation,VanArsdel,UM-48,,
444,UM-49,Urban,Moderation,VanArsdel,UM-49,,
445,UM-50,Urban,Moderation,VanArsdel,UM-50,,
446,UM-51,Urban,Moderation,VanArsdel,UM-51 (No Revenue),,
447,UM-52,Urban,Moderation,VanArsdel,UM-52,,
448,UM-53,Urban,Moderation,VanArsdel,UM-53 (No Revenue),,
449,UM-54,Urban,Moderation,VanArsdel,UM-54,,
450,UM-55,Urban,Moderation,VanArsdel,UM-55,,
451,UM-56,Urban,Moderation,VanArsdel,UM-56,,
452,UM-57,Urban,Moderation,VanArsdel,UM-57,,
453,UM-58,Urban,Moderation,VanArsdel,UM-58 (No Revenue),,
454,UM-59,Urban,Moderation,VanArsdel,UM-59 (No Revenue),,
455,UM-60,Urban,Moderation,VanArsdel,UM-60 (No Revenue),,
456,UM-61,Urban,Moderation,VanArsdel,UM-61,,
457,UM-62,Urban,Moderation,VanArsdel,UM-62,,
458,UM-63,Urban,Moderation,VanArsdel,UM-63,,
459,UM-64,Urban,Moderation,VanArsdel,UM-64,,
460,UM-65,Urban,Moderation,VanArsdel,UM-65,,
461,UM-66,Urban,Moderation,VanArsdel,UM-66,,
462,UM-67,Urban,Moderation,VanArsdel,UM-67,,
463,UM-68,Urban,Moderation,VanArsdel,UM-68 (No Revenue),,
464,UM-69,Urban,Moderation,VanArsdel,UM-69 (No Revenue),,
465,UM-70,Urban,Moderation,VanArsdel,UM-70,,
466,UM-71,Urban,Moderation,VanArsdel,UM-71,,
467,UM-72,Urban,Moderation,VanArsdel,UM-72,,
468,UM-73,Urban,Moderation,VanArsdel,UM-73 (No Revenue),,
469,UM-74,Urban,Moderation,VanArsdel,UM-74 (No Revenue),,
470,UM-75,Urban,Moderation,VanArsdel,UM-75,,
471,UM-76,Urban,Moderation,VanArsdel,UM-76,,
472,UM-77,Urban,Moderation,VanArsdel,UM-77 (No Revenue),,
473,UM-78,Urban,Moderation,VanArsdel,UM-78,,
474,UM-79,Urban,Moderation,VanArsdel,UM-79 (No Revenue),,
475,UM-80,Urban,Moderation,VanArsdel,UM-80,,
476,UM-81,Urban,Moderation,VanArsdel,UM-81,,
477,UM-82,Urban,Moderation,VanArsdel,UM-82,,
478,UM-83,Urban,Moderation,VanArsdel,UM-83,,
479,UM-84,Urban,Moderation,VanArsdel,UM-84 (No Revenue),,
480,UM-85,Urban,Moderation,VanArsdel,UM-85 (No Revenue),,
