dDate_Date,dDate_MonthNo,dDate_MonthName,dDate_MonthID,dDate_Month,dDate_Quarter,dDate_Year,dDate_InRange
"Thursday, April 1, 1999",4,Apr,199904,Apr-99,Q2,1999,in range
"Friday, April 2, 1999",4,Apr,199904,Apr-99,Q2,1999,in range
"Saturday, April 3, 1999",4,Apr,199904,Apr-99,Q2,1999,in range
"Sunday, April 4, 1999",4,Apr,199904,Apr-99,Q2,1999,in range
"Monday, April 5, 1999",4,Apr,199904,Apr-99,Q2,1999,in range
"Tuesday, April 6, 1999",4,Apr,199904,Apr-99,Q2,1999,in range
"Wednesday, April 7, 1999",4,Apr,199904,Apr-99,Q2,1999,in range
"Thursday, April 8, 1999",4,Apr,199904,Apr-99,Q2,1999,in range
"Friday, April 9, 1999",4,Apr,199904,Apr-99,Q2,1999,in range
"Saturday, April 10, 1999",4,Apr,199904,Apr-99,Q2,1999,in range
"Sunday, April 11, 1999",4,Apr,199904,Apr-99,Q2,1999,in range
"Monday, April 12, 1999",4,Apr,199904,Apr-99,Q2,1999,in range
"Tuesday, April 13, 1999",4,Apr,199904,Apr-99,Q2,1999,in range
"Wednesday, April 14, 1999",4,Apr,199904,Apr-99,Q2,1999,in range
"Thursday, April 15, 1999",4,Apr,199904,Apr-99,Q2,1999,in range
"Friday, April 16, 1999",4,Apr,199904,Apr-99,Q2,1999,in range
"Saturday, April 17, 1999",4,Apr,199904,Apr-99,Q2,1999,in range
"Sunday, April 18, 1999",4,Apr,199904,Apr-99,Q2,1999,in range
"Monday, April 19, 1999",4,Apr,199904,Apr-99,Q2,1999,in range
"Tuesday, April 20, 1999",4,Apr,199904,Apr-99,Q2,1999,in range
"Wednesday, April 21, 1999",4,Apr,199904,Apr-99,Q2,1999,in range
"Thursday, April 22, 1999",4,Apr,199904,Apr-99,Q2,1999,in range
"Friday, April 23, 1999",4,Apr,199904,Apr-99,Q2,1999,in range
"Saturday, April 24, 1999",4,Apr,199904,Apr-99,Q2,1999,in range
"Sunday, April 25, 1999",4,Apr,199904,Apr-99,Q2,1999,in range
"Monday, April 26, 1999",4,Apr,199904,Apr-99,Q2,1999,in range
"Tuesday, April 27, 1999",4,Apr,199904,Apr-99,Q2,1999,in range
"Wednesday, April 28, 1999",4,Apr,199904,Apr-99,Q2,1999,in range
"Thursday, April 29, 1999",4,Apr,199904,Apr-99,Q2,1999,in range
"Friday, April 30, 1999",4,Apr,199904,Apr-99,Q2,1999,in range
"Saturday, May 1, 1999",5,May,199905,May-99,Q2,1999,in range
"Sunday, May 2, 1999",5,May,199905,May-99,Q2,1999,in range
"Monday, May 3, 1999",5,May,199905,May-99,Q2,1999,in range
"Tuesday, May 4, 1999",5,May,199905,May-99,Q2,1999,in range
"Wednesday, May 5, 1999",5,May,199905,May-99,Q2,1999,in range
"Thursday, May 6, 1999",5,May,199905,May-99,Q2,1999,in range
"Friday, May 7, 1999",5,May,199905,May-99,Q2,1999,in range
"Saturday, May 8, 1999",5,May,199905,May-99,Q2,1999,in range
"Sunday, May 9, 1999",5,May,199905,May-99,Q2,1999,in range
"Monday, May 10, 1999",5,May,199905,May-99,Q2,1999,in range
"Tuesday, May 11, 1999",5,May,199905,May-99,Q2,1999,in range
"Wednesday, May 12, 1999",5,May,199905,May-99,Q2,1999,in range
"Thursday, May 13, 1999",5,May,199905,May-99,Q2,1999,in range
"Friday, May 14, 1999",5,May,199905,May-99,Q2,1999,in range
"Saturday, May 15, 1999",5,May,199905,May-99,Q2,1999,in range
"Sunday, May 16, 1999",5,May,199905,May-99,Q2,1999,in range
"Monday, May 17, 1999",5,May,199905,May-99,Q2,1999,in range
"Tuesday, May 18, 1999",5,May,199905,May-99,Q2,1999,in range
"Wednesday, May 19, 1999",5,May,199905,May-99,Q2,1999,in range
"Thursday, May 20, 1999",5,May,199905,May-99,Q2,1999,in range
"Friday, May 21, 1999",5,May,199905,May-99,Q2,1999,in range
"Saturday, May 22, 1999",5,May,199905,May-99,Q2,1999,in range
"Sunday, May 23, 1999",5,May,199905,May-99,Q2,1999,in range
"Monday, May 24, 1999",5,May,199905,May-99,Q2,1999,in range
"Tuesday, May 25, 1999",5,May,199905,May-99,Q2,1999,in range
"Wednesday, May 26, 1999",5,May,199905,May-99,Q2,1999,in range
"Thursday, May 27, 1999",5,May,199905,May-99,Q2,1999,in range
"Friday, May 28, 1999",5,May,199905,May-99,Q2,1999,in range
"Saturday, May 29, 1999",5,May,199905,May-99,Q2,1999,in range
"Sunday, May 30, 1999",5,May,199905,May-99,Q2,1999,in range
"Monday, May 31, 1999",5,May,199905,May-99,Q2,1999,in range
"Tuesday, June 1, 1999",6,Jun,199906,Jun-99,Q2,1999,in range
"Wednesday, June 2, 1999",6,Jun,199906,Jun-99,Q2,1999,in range
"Thursday, June 3, 1999",6,Jun,199906,Jun-99,Q2,1999,in range
"Friday, June 4, 1999",6,Jun,199906,Jun-99,Q2,1999,in range
"Saturday, June 5, 1999",6,Jun,199906,Jun-99,Q2,1999,in range
"Sunday, June 6, 1999",6,Jun,199906,Jun-99,Q2,1999,in range
"Monday, June 7, 1999",6,Jun,199906,Jun-99,Q2,1999,in range
"Tuesday, June 8, 1999",6,Jun,199906,Jun-99,Q2,1999,in range
"Wednesday, June 9, 1999",6,Jun,199906,Jun-99,Q2,1999,in range
"Thursday, June 10, 1999",6,Jun,199906,Jun-99,Q2,1999,in range
"Friday, June 11, 1999",6,Jun,199906,Jun-99,Q2,1999,in range
"Saturday, June 12, 1999",6,Jun,199906,Jun-99,Q2,1999,in range
"Sunday, June 13, 1999",6,Jun,199906,Jun-99,Q2,1999,in range
"Monday, June 14, 1999",6,Jun,199906,Jun-99,Q2,1999,in range
"Tuesday, June 15, 1999",6,Jun,199906,Jun-99,Q2,1999,in range
"Wednesday, June 16, 1999",6,Jun,199906,Jun-99,Q2,1999,in range
"Thursday, June 17, 1999",6,Jun,199906,Jun-99,Q2,1999,in range
"Friday, June 18, 1999",6,Jun,199906,Jun-99,Q2,1999,in range
"Saturday, June 19, 1999",6,Jun,199906,Jun-99,Q2,1999,in range
"Sunday, June 20, 1999",6,Jun,199906,Jun-99,Q2,1999,in range
"Monday, June 21, 1999",6,Jun,199906,Jun-99,Q2,1999,in range
"Tuesday, June 22, 1999",6,Jun,199906,Jun-99,Q2,1999,in range
"Wednesday, June 23, 1999",6,Jun,199906,Jun-99,Q2,1999,in range
"Thursday, June 24, 1999",6,Jun,199906,Jun-99,Q2,1999,in range
"Friday, June 25, 1999",6,Jun,199906,Jun-99,Q2,1999,in range
"Saturday, June 26, 1999",6,Jun,199906,Jun-99,Q2,1999,in range
"Sunday, June 27, 1999",6,Jun,199906,Jun-99,Q2,1999,in range
"Monday, June 28, 1999",6,Jun,199906,Jun-99,Q2,1999,in range
"Tuesday, June 29, 1999",6,Jun,199906,Jun-99,Q2,1999,in range
"Wednesday, June 30, 1999",6,Jun,199906,Jun-99,Q2,1999,in range
"Thursday, July 1, 1999",7,Jul,199907,Jul-99,Q3,1999,in range
"Friday, July 2, 1999",7,Jul,199907,Jul-99,Q3,1999,in range
"Saturday, July 3, 1999",7,Jul,199907,Jul-99,Q3,1999,in range
"Sunday, July 4, 1999",7,Jul,199907,Jul-99,Q3,1999,in range
"Monday, July 5, 1999",7,Jul,199907,Jul-99,Q3,1999,in range
"Tuesday, July 6, 1999",7,Jul,199907,Jul-99,Q3,1999,in range
"Wednesday, July 7, 1999",7,Jul,199907,Jul-99,Q3,1999,in range
"Thursday, July 8, 1999",7,Jul,199907,Jul-99,Q3,1999,in range
"Friday, July 9, 1999",7,Jul,199907,Jul-99,Q3,1999,in range
"Saturday, July 10, 1999",7,Jul,199907,Jul-99,Q3,1999,in range
"Sunday, July 11, 1999",7,Jul,199907,Jul-99,Q3,1999,in range
"Monday, July 12, 1999",7,Jul,199907,Jul-99,Q3,1999,in range
"Tuesday, July 13, 1999",7,Jul,199907,Jul-99,Q3,1999,in range
"Wednesday, July 14, 1999",7,Jul,199907,Jul-99,Q3,1999,in range
"Thursday, July 15, 1999",7,Jul,199907,Jul-99,Q3,1999,in range
"Friday, July 16, 1999",7,Jul,199907,Jul-99,Q3,1999,in range
"Saturday, July 17, 1999",7,Jul,199907,Jul-99,Q3,1999,in range
"Sunday, July 18, 1999",7,Jul,199907,Jul-99,Q3,1999,in range
"Monday, July 19, 1999",7,Jul,199907,Jul-99,Q3,1999,in range
"Tuesday, July 20, 1999",7,Jul,199907,Jul-99,Q3,1999,in range
"Wednesday, July 21, 1999",7,Jul,199907,Jul-99,Q3,1999,in range
"Thursday, July 22, 1999",7,Jul,199907,Jul-99,Q3,1999,in range
"Friday, July 23, 1999",7,Jul,199907,Jul-99,Q3,1999,in range
"Saturday, July 24, 1999",7,Jul,199907,Jul-99,Q3,1999,in range
"Sunday, July 25, 1999",7,Jul,199907,Jul-99,Q3,1999,in range
"Monday, July 26, 1999",7,Jul,199907,Jul-99,Q3,1999,in range
"Tuesday, July 27, 1999",7,Jul,199907,Jul-99,Q3,1999,in range
"Wednesday, July 28, 1999",7,Jul,199907,Jul-99,Q3,1999,in range
"Thursday, July 29, 1999",7,Jul,199907,Jul-99,Q3,1999,in range
"Friday, July 30, 1999",7,Jul,199907,Jul-99,Q3,1999,in range
"Saturday, July 31, 1999",7,Jul,199907,Jul-99,Q3,1999,in range
"Sunday, August 1, 1999",8,Aug,199908,Aug-99,Q3,1999,in range
"Monday, August 2, 1999",8,Aug,199908,Aug-99,Q3,1999,in range
"Tuesday, August 3, 1999",8,Aug,199908,Aug-99,Q3,1999,in range
"Wednesday, August 4, 1999",8,Aug,199908,Aug-99,Q3,1999,in range
"Thursday, August 5, 1999",8,Aug,199908,Aug-99,Q3,1999,in range
"Friday, August 6, 1999",8,Aug,199908,Aug-99,Q3,1999,in range
"Saturday, August 7, 1999",8,Aug,199908,Aug-99,Q3,1999,in range
"Sunday, August 8, 1999",8,Aug,199908,Aug-99,Q3,1999,in range
"Monday, August 9, 1999",8,Aug,199908,Aug-99,Q3,1999,in range
"Tuesday, August 10, 1999",8,Aug,199908,Aug-99,Q3,1999,in range
"Wednesday, August 11, 1999",8,Aug,199908,Aug-99,Q3,1999,in range
"Thursday, August 12, 1999",8,Aug,199908,Aug-99,Q3,1999,in range
"Friday, August 13, 1999",8,Aug,199908,Aug-99,Q3,1999,in range
"Saturday, August 14, 1999",8,Aug,199908,Aug-99,Q3,1999,in range
"Sunday, August 15, 1999",8,Aug,199908,Aug-99,Q3,1999,in range
"Monday, August 16, 1999",8,Aug,199908,Aug-99,Q3,1999,in range
"Tuesday, August 17, 1999",8,Aug,199908,Aug-99,Q3,1999,in range
"Wednesday, August 18, 1999",8,Aug,199908,Aug-99,Q3,1999,in range
"Thursday, August 19, 1999",8,Aug,199908,Aug-99,Q3,1999,in range
"Friday, August 20, 1999",8,Aug,199908,Aug-99,Q3,1999,in range
"Saturday, August 21, 1999",8,Aug,199908,Aug-99,Q3,1999,in range
"Sunday, August 22, 1999",8,Aug,199908,Aug-99,Q3,1999,in range
"Monday, August 23, 1999",8,Aug,199908,Aug-99,Q3,1999,in range
"Tuesday, August 24, 1999",8,Aug,199908,Aug-99,Q3,1999,in range
"Wednesday, August 25, 1999",8,Aug,199908,Aug-99,Q3,1999,in range
"Thursday, August 26, 1999",8,Aug,199908,Aug-99,Q3,1999,in range
"Friday, August 27, 1999",8,Aug,199908,Aug-99,Q3,1999,in range
"Saturday, August 28, 1999",8,Aug,199908,Aug-99,Q3,1999,in range
"Sunday, August 29, 1999",8,Aug,199908,Aug-99,Q3,1999,in range
"Monday, August 30, 1999",8,Aug,199908,Aug-99,Q3,1999,in range
"Tuesday, August 31, 1999",8,Aug,199908,Aug-99,Q3,1999,in range
"Wednesday, September 1, 1999",9,Sep,199909,Sep-99,Q3,1999,in range
"Thursday, September 2, 1999",9,Sep,199909,Sep-99,Q3,1999,in range
"Friday, September 3, 1999",9,Sep,199909,Sep-99,Q3,1999,in range
"Saturday, September 4, 1999",9,Sep,199909,Sep-99,Q3,1999,in range
"Sunday, September 5, 1999",9,Sep,199909,Sep-99,Q3,1999,in range
"Monday, September 6, 1999",9,Sep,199909,Sep-99,Q3,1999,in range
"Tuesday, September 7, 1999",9,Sep,199909,Sep-99,Q3,1999,in range
"Wednesday, September 8, 1999",9,Sep,199909,Sep-99,Q3,1999,in range
"Thursday, September 9, 1999",9,Sep,199909,Sep-99,Q3,1999,in range
"Friday, September 10, 1999",9,Sep,199909,Sep-99,Q3,1999,in range
"Saturday, September 11, 1999",9,Sep,199909,Sep-99,Q3,1999,in range
"Sunday, September 12, 1999",9,Sep,199909,Sep-99,Q3,1999,in range
"Monday, September 13, 1999",9,Sep,199909,Sep-99,Q3,1999,in range
"Tuesday, September 14, 1999",9,Sep,199909,Sep-99,Q3,1999,in range
"Wednesday, September 15, 1999",9,Sep,199909,Sep-99,Q3,1999,in range
"Thursday, September 16, 1999",9,Sep,199909,Sep-99,Q3,1999,in range
"Friday, September 17, 1999",9,Sep,199909,Sep-99,Q3,1999,in range
"Saturday, September 18, 1999",9,Sep,199909,Sep-99,Q3,1999,in range
"Sunday, September 19, 1999",9,Sep,199909,Sep-99,Q3,1999,in range
"Monday, September 20, 1999",9,Sep,199909,Sep-99,Q3,1999,in range
"Tuesday, September 21, 1999",9,Sep,199909,Sep-99,Q3,1999,in range
"Wednesday, September 22, 1999",9,Sep,199909,Sep-99,Q3,1999,in range
"Thursday, September 23, 1999",9,Sep,199909,Sep-99,Q3,1999,in range
"Friday, September 24, 1999",9,Sep,199909,Sep-99,Q3,1999,in range
"Saturday, September 25, 1999",9,Sep,199909,Sep-99,Q3,1999,in range
"Sunday, September 26, 1999",9,Sep,199909,Sep-99,Q3,1999,in range
"Monday, September 27, 1999",9,Sep,199909,Sep-99,Q3,1999,in range
"Tuesday, September 28, 1999",9,Sep,199909,Sep-99,Q3,1999,in range
"Wednesday, September 29, 1999",9,Sep,199909,Sep-99,Q3,1999,in range
"Thursday, September 30, 1999",9,Sep,199909,Sep-99,Q3,1999,in range
"Friday, October 1, 1999",10,Oct,199910,Oct-99,Q4,1999,in range
"Saturday, October 2, 1999",10,Oct,199910,Oct-99,Q4,1999,in range
"Sunday, October 3, 1999",10,Oct,199910,Oct-99,Q4,1999,in range
"Monday, October 4, 1999",10,Oct,199910,Oct-99,Q4,1999,in range
"Tuesday, October 5, 1999",10,Oct,199910,Oct-99,Q4,1999,in range
"Wednesday, October 6, 1999",10,Oct,199910,Oct-99,Q4,1999,in range
"Thursday, October 7, 1999",10,Oct,199910,Oct-99,Q4,1999,in range
"Friday, October 8, 1999",10,Oct,199910,Oct-99,Q4,1999,in range
"Saturday, October 9, 1999",10,Oct,199910,Oct-99,Q4,1999,in range
"Sunday, October 10, 1999",10,Oct,199910,Oct-99,Q4,1999,in range
"Monday, October 11, 1999",10,Oct,199910,Oct-99,Q4,1999,in range
"Tuesday, October 12, 1999",10,Oct,199910,Oct-99,Q4,1999,in range
"Wednesday, October 13, 1999",10,Oct,199910,Oct-99,Q4,1999,in range
"Thursday, October 14, 1999",10,Oct,199910,Oct-99,Q4,1999,in range
"Friday, October 15, 1999",10,Oct,199910,Oct-99,Q4,1999,in range
"Saturday, October 16, 1999",10,Oct,199910,Oct-99,Q4,1999,in range
"Sunday, October 17, 1999",10,Oct,199910,Oct-99,Q4,1999,in range
"Monday, October 18, 1999",10,Oct,199910,Oct-99,Q4,1999,in range
"Tuesday, October 19, 1999",10,Oct,199910,Oct-99,Q4,1999,in range
"Wednesday, October 20, 1999",10,Oct,199910,Oct-99,Q4,1999,in range
"Thursday, October 21, 1999",10,Oct,199910,Oct-99,Q4,1999,in range
"Friday, October 22, 1999",10,Oct,199910,Oct-99,Q4,1999,in range
"Saturday, October 23, 1999",10,Oct,199910,Oct-99,Q4,1999,in range
"Sunday, October 24, 1999",10,Oct,199910,Oct-99,Q4,1999,in range
"Monday, October 25, 1999",10,Oct,199910,Oct-99,Q4,1999,in range
"Tuesday, October 26, 1999",10,Oct,199910,Oct-99,Q4,1999,in range
"Wednesday, October 27, 1999",10,Oct,199910,Oct-99,Q4,1999,in range
"Thursday, October 28, 1999",10,Oct,199910,Oct-99,Q4,1999,in range
"Friday, October 29, 1999",10,Oct,199910,Oct-99,Q4,1999,in range
"Saturday, October 30, 1999",10,Oct,199910,Oct-99,Q4,1999,in range
"Sunday, October 31, 1999",10,Oct,199910,Oct-99,Q4,1999,in range
"Monday, November 1, 1999",11,Nov,199911,Nov-99,Q4,1999,in range
"Tuesday, November 2, 1999",11,Nov,199911,Nov-99,Q4,1999,in range
"Wednesday, November 3, 1999",11,Nov,199911,Nov-99,Q4,1999,in range
"Thursday, November 4, 1999",11,Nov,199911,Nov-99,Q4,1999,in range
"Friday, November 5, 1999",11,Nov,199911,Nov-99,Q4,1999,in range
"Saturday, November 6, 1999",11,Nov,199911,Nov-99,Q4,1999,in range
"Sunday, November 7, 1999",11,Nov,199911,Nov-99,Q4,1999,in range
"Monday, November 8, 1999",11,Nov,199911,Nov-99,Q4,1999,in range
"Tuesday, November 9, 1999",11,Nov,199911,Nov-99,Q4,1999,in range
"Wednesday, November 10, 1999",11,Nov,199911,Nov-99,Q4,1999,in range
"Thursday, November 11, 1999",11,Nov,199911,Nov-99,Q4,1999,in range
"Friday, November 12, 1999",11,Nov,199911,Nov-99,Q4,1999,in range
"Saturday, November 13, 1999",11,Nov,199911,Nov-99,Q4,1999,in range
"Sunday, November 14, 1999",11,Nov,199911,Nov-99,Q4,1999,in range
"Monday, November 15, 1999",11,Nov,199911,Nov-99,Q4,1999,in range
"Tuesday, November 16, 1999",11,Nov,199911,Nov-99,Q4,1999,in range
"Wednesday, November 17, 1999",11,Nov,199911,Nov-99,Q4,1999,in range
"Thursday, November 18, 1999",11,Nov,199911,Nov-99,Q4,1999,in range
"Friday, November 19, 1999",11,Nov,199911,Nov-99,Q4,1999,in range
"Saturday, November 20, 1999",11,Nov,199911,Nov-99,Q4,1999,in range
"Sunday, November 21, 1999",11,Nov,199911,Nov-99,Q4,1999,in range
"Monday, November 22, 1999",11,Nov,199911,Nov-99,Q4,1999,in range
"Tuesday, November 23, 1999",11,Nov,199911,Nov-99,Q4,1999,in range
"Wednesday, November 24, 1999",11,Nov,199911,Nov-99,Q4,1999,in range
"Thursday, November 25, 1999",11,Nov,199911,Nov-99,Q4,1999,in range
"Friday, November 26, 1999",11,Nov,199911,Nov-99,Q4,1999,in range
"Saturday, November 27, 1999",11,Nov,199911,Nov-99,Q4,1999,in range
"Sunday, November 28, 1999",11,Nov,199911,Nov-99,Q4,1999,in range
"Monday, November 29, 1999",11,Nov,199911,Nov-99,Q4,1999,in range
"Tuesday, November 30, 1999",11,Nov,199911,Nov-99,Q4,1999,in range
"Wednesday, December 1, 1999",12,Dec,199912,Dec-99,Q4,1999,in range
"Thursday, December 2, 1999",12,Dec,199912,Dec-99,Q4,1999,in range
"Friday, December 3, 1999",12,Dec,199912,Dec-99,Q4,1999,in range
"Saturday, December 4, 1999",12,Dec,199912,Dec-99,Q4,1999,in range
"Sunday, December 5, 1999",12,Dec,199912,Dec-99,Q4,1999,in range
"Monday, December 6, 1999",12,Dec,199912,Dec-99,Q4,1999,in range
"Tuesday, December 7, 1999",12,Dec,199912,Dec-99,Q4,1999,in range
"Wednesday, December 8, 1999",12,Dec,199912,Dec-99,Q4,1999,in range
"Thursday, December 9, 1999",12,Dec,199912,Dec-99,Q4,1999,in range
"Friday, December 10, 1999",12,Dec,199912,Dec-99,Q4,1999,in range
"Saturday, December 11, 1999",12,Dec,199912,Dec-99,Q4,1999,in range
"Sunday, December 12, 1999",12,Dec,199912,Dec-99,Q4,1999,in range
"Monday, December 13, 1999",12,Dec,199912,Dec-99,Q4,1999,in range
"Tuesday, December 14, 1999",12,Dec,199912,Dec-99,Q4,1999,in range
"Wednesday, December 15, 1999",12,Dec,199912,Dec-99,Q4,1999,in range
"Thursday, December 16, 1999",12,Dec,199912,Dec-99,Q4,1999,in range
"Friday, December 17, 1999",12,Dec,199912,Dec-99,Q4,1999,in range
"Saturday, December 18, 1999",12,Dec,199912,Dec-99,Q4,1999,in range
"Sunday, December 19, 1999",12,Dec,199912,Dec-99,Q4,1999,in range
"Monday, December 20, 1999",12,Dec,199912,Dec-99,Q4,1999,in range
"Tuesday, December 21, 1999",12,Dec,199912,Dec-99,Q4,1999,in range
"Wednesday, December 22, 1999",12,Dec,199912,Dec-99,Q4,1999,in range
"Thursday, December 23, 1999",12,Dec,199912,Dec-99,Q4,1999,in range
"Friday, December 24, 1999",12,Dec,199912,Dec-99,Q4,1999,in range
